"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Human","Lymph node","Lymph node","Cancer cell","Stem-like CD8 T cell","TCF-1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","B cell","TCF3","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","B cell","TFAP4","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","T cell","THY1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Rosetting T cell","TOX","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Rosetting T cell","TOX2","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","B cell","TP53","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Normal cell","T cell","TRAV1-2","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","T cell","USP7","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Lymphatic endothelial cell","VEGFR-3","Experiment","1","DETAIL"
