,B intermediate,B naive,NK
754,0.171875,0.1640625,0.0390625
755,0.09375,0.078125,0.0078125
756,0.09375,0.078125,0.0234375
757,0.1875,0.171875,0.03125
758,0.078125,0.0703125,0.03125
759,0.0625,0.0546875,0.015625
760,0.078125,0.0625,0.0234375
761,0.0859375,0.0859375,0.0390625
762,0.0546875,0.046875,0.0234375
763,0.1171875,0.109375,0.0390625
764,0.109375,0.0859375,0.03125
765,0.140625,0.1015625,0.046875
766,0.0703125,0.0546875,0.0234375
767,0.125,0.1171875,0.03125
768,0.0859375,0.0703125,0.015625
769,0.1171875,0.09375,0.015625
770,0.1015625,0.0703125,0.015625
771,0.0546875,0.0390625,0.015625
772,0.109375,0.0703125,0.0234375
773,0.078125,0.0625,0.03125
774,0.109375,0.09375,0.0390625
775,0.078125,0.0703125,0.0390625
776,0.0625,0.0546875,0.0234375
777,0.125,0.1015625,0.0234375
778,0.0625,0.0625,0.03125
779,0.0859375,0.0859375,0.0078125
780,0.0859375,0.0625,0.015625
781,0.15625,0.125,0.015625
782,0.1171875,0.09375,0.0234375
783,0.0703125,0.0546875,0.0234375
784,0.109375,0.09375,0.0546875
785,0.125,0.0859375,0.0078125
786,0.09375,0.078125,0.03125
787,0.0859375,0.0703125,0.0234375
788,0.09375,0.0859375,0.015625
789,0.0859375,0.0703125,0.0234375
790,0.0859375,0.0625,0.0234375
791,0.1015625,0.0859375,0.0390625
792,0.078125,0.0703125,0.0390625
793,0.09375,0.0703125,0.0390625
794,0.1171875,0.1015625,0.0390625
795,0.1328125,0.125,0.046875
796,0.0703125,0.0625,0.0078125
797,0.0703125,0.046875,0.0234375
798,0.0703125,0.0546875,0.015625
799,0.078125,0.0703125,0.0234375
800,0.109375,0.1015625,0.0390625
801,0.1015625,0.078125,0.0234375
802,0.1171875,0.1015625,0.0234375
803,0.1015625,0.1015625,0.0546875
804,0.09375,0.0859375,0.0546875
805,0.0859375,0.0625,0.046875
806,0.09375,0.078125,0.015625
807,0.1171875,0.09375,0.0625
808,0.078125,0.0703125,0.0078125
809,0.1171875,0.1015625,0.015625
810,0.09375,0.0625,0.0234375
811,0.078125,0.0546875,0.046875
812,0.1171875,0.0859375,0.0234375
813,0.078125,0.0625,0.03125
814,0.0859375,0.0625,0.0234375
815,0.109375,0.078125,0.046875
816,0.09375,0.0859375,0.046875
817,0.1015625,0.0703125,0.0390625
818,0.0859375,0.0859375,0.03125
819,0.0703125,0.0546875,0.0078125
820,0.03125,0.0234375,0.0078125
821,0.09375,0.0859375,0.0546875
822,0.1171875,0.0703125,0.0390625
823,0.1171875,0.09375,0.03125
824,0.0703125,0.0234375,0.0078125
825,0.0859375,0.0703125,0.03125
826,0.1171875,0.109375,0.015625
827,0.1015625,0.09375,0.046875
828,0.0859375,0.0703125,0.0390625
829,0.0859375,0.078125,0.03125
830,0.0703125,0.0625,0.0078125
831,0.078125,0.0625,0.03125
832,0.0703125,0.0703125,0.015625
833,0.125,0.1015625,0.0078125
834,0.0859375,0.0546875,0.015625
835,0.09375,0.0703125,0.046875
836,0.0703125,0.0625,0.046875
837,0.09375,0.09375,0.0390625
838,0.078125,0.0546875,0.015625
839,0.125,0.09375,0.0078125
840,0.0546875,0.0390625,0.0390625
841,0.0859375,0.0859375,0.03125
842,0.0859375,0.0703125,0.015625
843,0.1015625,0.078125,0.0234375
844,0.078125,0.0625,0.0078125
845,0.1171875,0.1015625,0.0234375
846,0.0859375,0.046875,0.015625
847,0.0625,0.0625,0.03125
848,0.1015625,0.0859375,0.0390625
849,0.0859375,0.078125,0.03125
850,0.15625,0.125,0.0078125
851,0.0859375,0.0703125,0.03125
852,0.0546875,0.0546875,0.03125
853,0.09375,0.0546875,0.03125
854,0.125,0.1171875,0.0390625
855,0.0703125,0.0546875,0.03125
856,0.125,0.1171875,0.015625
857,0.09375,0.0703125,0.0390625
858,0.078125,0.0703125,0.03125
859,0.0859375,0.0625,0.0078125
860,0.09375,0.0703125,0.03125
861,0.15625,0.1171875,0.0234375
862,0.1015625,0.078125,0.03125
863,0.0703125,0.0625,0.0234375
864,0.140625,0.1328125,0.0234375
865,0.0546875,0.0546875,0.03125
866,0.09375,0.09375,0.03125
867,0.1171875,0.1171875,0.0078125
868,0.0859375,0.0625,0.0390625
869,0.078125,0.0625,0.0078125
870,0.078125,0.078125,0.015625
871,0.0703125,0.0703125,0.015625
872,0.0625,0.0625,0.0390625
873,0.0859375,0.078125,0.03125
874,0.1015625,0.1015625,0.03125
875,0.0625,0.0546875,0.015625
876,0.09375,0.078125,0.0390625
877,0.140625,0.1171875,0.0546875
878,0.1015625,0.0859375,0.0
879,0.0703125,0.0625,0.0078125
880,0.09375,0.0859375,0.015625
881,0.1328125,0.09375,0.0390625
882,0.0703125,0.046875,0.0234375
883,0.078125,0.0703125,0.015625
884,0.0703125,0.0703125,0.03125
885,0.078125,0.046875,0.0234375
886,0.140625,0.1328125,0.046875
887,0.1171875,0.109375,0.0390625
888,0.0703125,0.0703125,0.0
889,0.125,0.09375,0.015625
890,0.0703125,0.046875,0.03125
891,0.09375,0.09375,0.0390625
892,0.1015625,0.0859375,0.015625
893,0.09375,0.078125,0.0390625
894,0.125,0.1015625,0.0390625
895,0.09375,0.0703125,0.03125
896,0.046875,0.0390625,0.0234375
897,0.1015625,0.078125,0.015625
898,0.109375,0.0859375,0.03125
899,0.0625,0.0546875,0.0390625
900,0.1328125,0.1015625,0.03125
901,0.0859375,0.0703125,0.03125
902,0.109375,0.078125,0.0234375
903,0.078125,0.078125,0.015625
904,0.078125,0.0546875,0.046875
905,0.109375,0.09375,0.0234375
906,0.0859375,0.078125,0.0390625
907,0.140625,0.125,0.0234375
908,0.1015625,0.078125,0.03125
909,0.0546875,0.0390625,0.015625
910,0.078125,0.0703125,0.0078125
911,0.078125,0.0625,0.0390625
912,0.109375,0.1015625,0.0390625
913,0.078125,0.0703125,0.015625
914,0.109375,0.109375,0.03125
915,0.1171875,0.1015625,0.03125
916,0.1328125,0.125,0.0234375
917,0.0859375,0.0625,0.0
918,0.1015625,0.0859375,0.0234375
919,0.0859375,0.078125,0.0234375
920,0.1171875,0.09375,0.015625
921,0.0390625,0.03125,0.0234375
922,0.1015625,0.0859375,0.0390625
923,0.0703125,0.0703125,0.0078125
924,0.1328125,0.109375,0.03125
925,0.1171875,0.109375,0.03125
926,0.078125,0.0703125,0.03125
927,0.0859375,0.0625,0.0078125
928,0.15625,0.1328125,0.0234375
929,0.09375,0.0859375,0.015625
930,0.109375,0.1015625,0.0
931,0.1015625,0.0859375,0.0234375
932,0.046875,0.046875,0.03125
933,0.078125,0.0703125,0.03125
934,0.078125,0.0546875,0.046875
935,0.109375,0.0859375,0.0078125
936,0.0703125,0.0625,0.0234375
937,0.09375,0.0859375,0.0234375
938,0.078125,0.0703125,0.0234375
939,0.1015625,0.0859375,0.0234375
940,0.0703125,0.0546875,0.0234375
941,0.109375,0.09375,0.0234375
942,0.1171875,0.109375,0.03125
943,0.1015625,0.0859375,0.03125
944,0.0546875,0.046875,0.03125
945,0.0859375,0.078125,0.0234375
946,0.109375,0.0859375,0.0390625
947,0.15625,0.109375,0.015625
948,0.0625,0.0546875,0.0078125
949,0.09375,0.09375,0.015625
950,0.0625,0.0390625,0.0234375
951,0.0859375,0.0703125,0.0078125
952,0.1328125,0.1015625,0.03125
953,0.0703125,0.0703125,0.0390625
954,0.109375,0.09375,0.015625
955,0.0703125,0.0390625,0.0390625
956,0.09375,0.09375,0.015625
957,0.078125,0.0546875,0.015625
958,0.109375,0.078125,0.0390625
959,0.078125,0.0546875,0.0234375
960,0.0625,0.0546875,0.0234375
961,0.09375,0.0859375,0.0234375
962,0.0703125,0.0625,0.015625
963,0.0859375,0.078125,0.046875
964,0.0859375,0.0703125,0.0078125
965,0.0859375,0.0625,0.0234375
966,0.1171875,0.1015625,0.0234375
967,0.1328125,0.1328125,0.046875
968,0.078125,0.0703125,0.046875
969,0.125,0.1015625,0.03125
970,0.125,0.109375,0.0390625
971,0.078125,0.0703125,0.0390625
972,0.1015625,0.09375,0.0234375
973,0.1171875,0.1015625,0.0234375
974,0.078125,0.078125,0.0234375
975,0.0390625,0.03125,0.0
976,0.1015625,0.0859375,0.015625
977,0.1015625,0.0859375,0.015625
978,0.0703125,0.0546875,0.015625
979,0.0859375,0.078125,0.015625
980,0.078125,0.0703125,0.0
981,0.140625,0.1328125,0.0390625
982,0.15625,0.15625,0.0390625
983,0.0546875,0.046875,0.015625
984,0.078125,0.0703125,0.015625
985,0.0859375,0.0859375,0.0234375
986,0.078125,0.078125,0.0234375
987,0.0859375,0.078125,0.03125
988,0.078125,0.0703125,0.0625
989,0.1015625,0.0703125,0.0234375
990,0.0625,0.046875,0.015625
991,0.1015625,0.09375,0.0078125
992,0.0859375,0.0703125,0.046875
993,0.09375,0.0703125,0.03125
994,0.0859375,0.0703125,0.03125
995,0.1171875,0.09375,0.0234375
996,0.109375,0.1015625,0.0625
997,0.0703125,0.0546875,0.0390625
998,0.0703125,0.0625,0.0234375
999,0.1484375,0.1171875,0.046875
