,B intermediate,B naive,NK
521,0.0703125,0.0703125,0.0
522,0.0859375,0.0859375,0.0078125
523,0.0859375,0.078125,0.0078125
524,0.125,0.125,0.0
525,0.140625,0.140625,0.0
526,0.0859375,0.0859375,0.0078125
527,0.09375,0.09375,0.0
528,0.0859375,0.0859375,0.0
529,0.0625,0.0625,0.0
530,0.109375,0.109375,0.0078125
531,0.1015625,0.1015625,0.0078125
532,0.0703125,0.0625,0.015625
533,0.0546875,0.046875,0.0078125
534,0.1328125,0.125,0.0078125
535,0.109375,0.1015625,0.0078125
536,0.0625,0.0625,0.0
537,0.1015625,0.1015625,0.0078125
538,0.0390625,0.0390625,0.0
539,0.109375,0.109375,0.0078125
540,0.09375,0.09375,0.0
541,0.0859375,0.0859375,0.0078125
542,0.109375,0.109375,0.0078125
543,0.0703125,0.0703125,0.0078125
544,0.0703125,0.0703125,0.0078125
545,0.09375,0.0859375,0.015625
546,0.0859375,0.0859375,0.0078125
547,0.046875,0.046875,0.0
548,0.109375,0.109375,0.0078125
549,0.09375,0.09375,0.0
550,0.1328125,0.1328125,0.0
551,0.046875,0.046875,0.0
552,0.1171875,0.109375,0.015625
553,0.0625,0.046875,0.015625
554,0.109375,0.1015625,0.0078125
555,0.0625,0.0625,0.0
556,0.0703125,0.0703125,0.0
557,0.0859375,0.078125,0.015625
558,0.109375,0.109375,0.0
559,0.0546875,0.046875,0.015625
560,0.09375,0.078125,0.015625
561,0.1171875,0.109375,0.0078125
562,0.140625,0.1328125,0.0234375
563,0.1484375,0.1484375,0.0
564,0.1015625,0.0859375,0.015625
565,0.0625,0.0625,0.0
566,0.078125,0.078125,0.0
567,0.1171875,0.1171875,0.0
568,0.1171875,0.1171875,0.015625
569,0.1171875,0.109375,0.0234375
570,0.0703125,0.0703125,0.0
571,0.1171875,0.109375,0.015625
572,0.109375,0.1015625,0.0078125
573,0.0859375,0.0859375,0.0078125
574,0.09375,0.0703125,0.03125
575,0.0625,0.0625,0.0
576,0.1015625,0.09375,0.0078125
577,0.03125,0.0234375,0.015625
578,0.109375,0.1015625,0.0234375
579,0.125,0.125,0.0078125
580,0.1328125,0.1328125,0.015625
581,0.125,0.125,0.0234375
582,0.1015625,0.1015625,0.0078125
583,0.1171875,0.1171875,0.0078125
584,0.0859375,0.078125,0.0078125
585,0.0859375,0.078125,0.015625
586,0.109375,0.1015625,0.0078125
587,0.078125,0.078125,0.0078125
588,0.0859375,0.0859375,0.0
589,0.109375,0.109375,0.0
590,0.1171875,0.1015625,0.0234375
591,0.09375,0.0859375,0.0078125
592,0.1171875,0.1171875,0.0
593,0.0859375,0.078125,0.0078125
594,0.109375,0.109375,0.0078125
595,0.0625,0.0546875,0.0078125
596,0.125,0.109375,0.0390625
597,0.09375,0.09375,0.0
598,0.1015625,0.09375,0.0078125
599,0.125,0.125,0.0
600,0.1484375,0.1484375,0.0078125
601,0.046875,0.0390625,0.015625
602,0.09375,0.09375,0.0
603,0.078125,0.078125,0.0078125
604,0.0546875,0.0546875,0.0
605,0.0859375,0.0859375,0.0
606,0.109375,0.109375,0.0078125
607,0.0859375,0.0859375,0.0078125
608,0.109375,0.09375,0.03125
609,0.1015625,0.09375,0.0078125
610,0.1015625,0.1015625,0.0
611,0.1171875,0.1171875,0.0078125
612,0.0703125,0.0703125,0.0078125
613,0.0390625,0.0390625,0.0
614,0.125,0.1171875,0.015625
615,0.078125,0.078125,0.0
616,0.0703125,0.0625,0.015625
617,0.0625,0.0625,0.0078125
618,0.09375,0.09375,0.0
619,0.15625,0.1484375,0.015625
620,0.140625,0.140625,0.0078125
621,0.0859375,0.078125,0.015625
622,0.109375,0.1015625,0.0078125
623,0.09375,0.09375,0.0
624,0.0859375,0.0859375,0.0
625,0.1015625,0.09375,0.0078125
626,0.1328125,0.1171875,0.015625
627,0.0625,0.0625,0.0078125
628,0.078125,0.078125,0.0078125
629,0.109375,0.1015625,0.0078125
630,0.0859375,0.0859375,0.0
631,0.1171875,0.109375,0.0078125
632,0.0625,0.0546875,0.0078125
633,0.0859375,0.0859375,0.015625
634,0.078125,0.078125,0.0078125
635,0.1015625,0.1015625,0.0078125
636,0.1484375,0.1484375,0.0078125
637,0.1015625,0.09375,0.0078125
638,0.15625,0.15625,0.0078125
639,0.0859375,0.0859375,0.0078125
640,0.1015625,0.0859375,0.015625
641,0.1171875,0.1171875,0.015625
642,0.125,0.1171875,0.0078125
643,0.109375,0.1015625,0.0078125
644,0.0859375,0.0859375,0.0
645,0.1015625,0.09375,0.0078125
646,0.078125,0.078125,0.0
647,0.1171875,0.1171875,0.0
648,0.1328125,0.125,0.015625
649,0.109375,0.1015625,0.0078125
650,0.0859375,0.078125,0.0234375
651,0.109375,0.109375,0.0078125
652,0.125,0.125,0.0078125
653,0.09375,0.0859375,0.0078125
654,0.109375,0.09375,0.015625
655,0.1015625,0.0859375,0.015625
656,0.1171875,0.1171875,0.0
657,0.171875,0.1640625,0.015625
658,0.0859375,0.0859375,0.0078125
659,0.09375,0.09375,0.0
660,0.0625,0.0625,0.0078125
661,0.1015625,0.09375,0.0078125
662,0.1328125,0.1328125,0.0
663,0.078125,0.078125,0.0
664,0.015625,0.015625,0.0
665,0.1328125,0.1328125,0.0234375
666,0.0625,0.046875,0.015625
667,0.0703125,0.0703125,0.0
668,0.0703125,0.0546875,0.015625
669,0.109375,0.1015625,0.0078125
670,0.140625,0.1328125,0.03125
671,0.078125,0.078125,0.0078125
672,0.0703125,0.0625,0.0078125
673,0.09375,0.0859375,0.0078125
674,0.109375,0.109375,0.0078125
675,0.0625,0.0546875,0.0078125
676,0.1015625,0.1015625,0.0078125
677,0.140625,0.1328125,0.015625
678,0.0859375,0.078125,0.0078125
679,0.0546875,0.046875,0.015625
680,0.1015625,0.1015625,0.0
681,0.109375,0.1015625,0.015625
682,0.0859375,0.078125,0.015625
683,0.1015625,0.1015625,0.0
684,0.1953125,0.1953125,0.0078125
685,0.109375,0.109375,0.0078125
686,0.1328125,0.1328125,0.0
687,0.1328125,0.1171875,0.0234375
688,0.1484375,0.1484375,0.0078125
689,0.0859375,0.0859375,0.0
690,0.140625,0.140625,0.0
691,0.0546875,0.0546875,0.015625
692,0.125,0.125,0.0
693,0.1015625,0.09375,0.015625
694,0.0703125,0.0703125,0.0078125
695,0.140625,0.1328125,0.0078125
696,0.109375,0.109375,0.0
697,0.140625,0.1328125,0.0078125
698,0.078125,0.078125,0.0
699,0.1171875,0.1171875,0.0
700,0.09375,0.0859375,0.015625
701,0.125,0.109375,0.015625
702,0.125,0.125,0.0
703,0.0625,0.0546875,0.015625
704,0.0546875,0.0546875,0.0
705,0.078125,0.078125,0.0
706,0.09375,0.09375,0.0078125
707,0.0546875,0.0546875,0.0
708,0.109375,0.109375,0.0078125
709,0.1484375,0.140625,0.0078125
710,0.078125,0.078125,0.0078125
711,0.078125,0.078125,0.0
712,0.0703125,0.0703125,0.0078125
713,0.0859375,0.078125,0.0078125
714,0.078125,0.0546875,0.0234375
715,0.1171875,0.09375,0.03125
716,0.1484375,0.1484375,0.0234375
717,0.109375,0.09375,0.015625
718,0.1171875,0.1171875,0.015625
719,0.1171875,0.1171875,0.0
720,0.078125,0.078125,0.0
721,0.0859375,0.0859375,0.0
722,0.1015625,0.1015625,0.0
723,0.125,0.125,0.0
724,0.078125,0.0703125,0.0078125
725,0.078125,0.0703125,0.0078125
726,0.1171875,0.1171875,0.015625
727,0.078125,0.078125,0.0078125
728,0.1484375,0.1484375,0.0078125
729,0.1171875,0.1171875,0.0
730,0.0390625,0.0390625,0.0
731,0.0859375,0.0859375,0.0078125
732,0.125,0.125,0.0
733,0.078125,0.078125,0.0
734,0.0703125,0.0703125,0.0
735,0.1015625,0.1015625,0.0078125
736,0.0859375,0.0859375,0.0
737,0.140625,0.109375,0.03125
738,0.0546875,0.0546875,0.0
739,0.09375,0.09375,0.0
740,0.125,0.125,0.0
741,0.0625,0.0546875,0.0234375
742,0.09375,0.09375,0.015625
743,0.0703125,0.0703125,0.0
744,0.0703125,0.0703125,0.0
745,0.1015625,0.1015625,0.0
746,0.1015625,0.1015625,0.0
747,0.1015625,0.09375,0.0078125
748,0.1640625,0.15625,0.015625
749,0.078125,0.078125,0.0
750,0.0703125,0.0703125,0.0
751,0.1015625,0.078125,0.03125
752,0.125,0.125,0.0078125
753,0.078125,0.0625,0.015625
754,0.109375,0.1015625,0.015625
755,0.1328125,0.109375,0.03125
756,0.09375,0.09375,0.0078125
757,0.078125,0.0703125,0.0078125
758,0.09375,0.0859375,0.0078125
759,0.078125,0.0703125,0.0078125
760,0.109375,0.109375,0.0
761,0.078125,0.078125,0.0
762,0.0703125,0.0625,0.015625
763,0.09375,0.09375,0.0
764,0.109375,0.09375,0.015625
765,0.1328125,0.1328125,0.0078125
766,0.1015625,0.1015625,0.0078125
767,0.109375,0.109375,0.0
768,0.046875,0.03125,0.015625
769,0.078125,0.0625,0.015625
770,0.1015625,0.1015625,0.0
771,0.109375,0.109375,0.0078125
772,0.0859375,0.0859375,0.0078125
773,0.1484375,0.140625,0.0234375
774,0.1015625,0.1015625,0.0
775,0.0859375,0.0859375,0.0
776,0.1015625,0.09375,0.0078125
777,0.109375,0.109375,0.0078125
778,0.1015625,0.1015625,0.0078125
779,0.0625,0.0625,0.0
780,0.0859375,0.078125,0.0078125
781,0.078125,0.0703125,0.0078125
782,0.1015625,0.1015625,0.0
783,0.078125,0.078125,0.0
784,0.1328125,0.1328125,0.0078125
785,0.1171875,0.109375,0.0078125
786,0.1171875,0.1171875,0.0
787,0.125,0.1171875,0.015625
788,0.125,0.1171875,0.015625
789,0.09375,0.0859375,0.0078125
790,0.1171875,0.1171875,0.0078125
791,0.1015625,0.09375,0.015625
792,0.09375,0.0859375,0.0078125
793,0.09375,0.09375,0.0078125
794,0.125,0.125,0.0
795,0.15625,0.15625,0.0
796,0.09375,0.09375,0.0078125
797,0.109375,0.09375,0.015625
798,0.0625,0.0625,0.0
799,0.125,0.1171875,0.0078125
800,0.0859375,0.078125,0.015625
801,0.109375,0.109375,0.0078125
802,0.0859375,0.0859375,0.0078125
803,0.078125,0.078125,0.0
804,0.078125,0.0703125,0.0078125
805,0.1015625,0.1015625,0.0
806,0.109375,0.1015625,0.0078125
807,0.1171875,0.109375,0.015625
808,0.0859375,0.078125,0.0078125
809,0.0859375,0.0859375,0.0078125
810,0.125,0.1171875,0.015625
811,0.09375,0.09375,0.0078125
812,0.15625,0.15625,0.0
813,0.1171875,0.1015625,0.03125
814,0.1015625,0.1015625,0.0
815,0.0703125,0.0703125,0.015625
816,0.1328125,0.1328125,0.0
817,0.1015625,0.1015625,0.0078125
818,0.140625,0.140625,0.015625
819,0.109375,0.109375,0.015625
820,0.1015625,0.1015625,0.0078125
821,0.1640625,0.140625,0.0234375
822,0.0859375,0.078125,0.0078125
823,0.125,0.1171875,0.0078125
824,0.0625,0.0546875,0.0078125
825,0.125,0.125,0.0078125
826,0.1015625,0.1015625,0.0
827,0.125,0.1171875,0.0078125
828,0.0859375,0.0859375,0.0
829,0.0703125,0.0546875,0.015625
830,0.09375,0.09375,0.0
831,0.1015625,0.09375,0.0234375
832,0.1171875,0.1171875,0.0
833,0.0859375,0.0859375,0.0
834,0.109375,0.1015625,0.0078125
835,0.078125,0.078125,0.0
836,0.078125,0.0703125,0.0078125
837,0.109375,0.109375,0.0078125
838,0.0859375,0.0859375,0.0078125
839,0.1015625,0.1015625,0.0
840,0.0625,0.0625,0.0
841,0.0703125,0.0703125,0.0
842,0.1328125,0.125,0.015625
843,0.0546875,0.0546875,0.0078125
844,0.0859375,0.0859375,0.0078125
845,0.0546875,0.0546875,0.0
846,0.109375,0.1015625,0.015625
847,0.0546875,0.0546875,0.0078125
848,0.09375,0.0859375,0.0078125
849,0.140625,0.125,0.015625
850,0.125,0.125,0.0078125
851,0.109375,0.109375,0.0
852,0.0703125,0.0625,0.0078125
853,0.1171875,0.1171875,0.0
854,0.1015625,0.0859375,0.0234375
855,0.0859375,0.0859375,0.0078125
856,0.078125,0.078125,0.0
857,0.09375,0.09375,0.0
858,0.0703125,0.0703125,0.0
859,0.078125,0.0703125,0.0078125
860,0.09375,0.078125,0.0234375
861,0.078125,0.078125,0.0
862,0.0546875,0.0546875,0.0
863,0.09375,0.09375,0.0078125
864,0.1484375,0.1484375,0.0234375
865,0.0703125,0.0703125,0.0078125
866,0.0625,0.0625,0.0
867,0.1015625,0.1015625,0.0078125
868,0.0703125,0.0703125,0.0
869,0.0625,0.0625,0.0078125
870,0.140625,0.1328125,0.0078125
871,0.0859375,0.0859375,0.0
872,0.140625,0.140625,0.0078125
873,0.125,0.1171875,0.015625
874,0.0703125,0.0703125,0.015625
875,0.140625,0.140625,0.0
876,0.1484375,0.140625,0.0078125
877,0.0625,0.0546875,0.0078125
878,0.0859375,0.078125,0.015625
879,0.078125,0.078125,0.0
880,0.078125,0.078125,0.0078125
881,0.125,0.125,0.0
882,0.078125,0.078125,0.0
883,0.1015625,0.09375,0.015625
884,0.1171875,0.1171875,0.0078125
885,0.0546875,0.046875,0.0078125
886,0.1015625,0.09375,0.0078125
887,0.09375,0.09375,0.015625
888,0.15625,0.1484375,0.0078125
889,0.0859375,0.0859375,0.0
890,0.0703125,0.0625,0.0078125
891,0.0546875,0.0546875,0.0
892,0.0859375,0.0859375,0.0
893,0.109375,0.1015625,0.015625
894,0.1171875,0.1171875,0.0
895,0.078125,0.0703125,0.0078125
896,0.125,0.125,0.0
897,0.0625,0.0625,0.0078125
898,0.1171875,0.109375,0.015625
899,0.109375,0.109375,0.0
900,0.0859375,0.078125,0.015625
901,0.1171875,0.1171875,0.0078125
902,0.109375,0.09375,0.015625
903,0.109375,0.109375,0.0078125
904,0.078125,0.078125,0.0078125
905,0.1171875,0.1171875,0.0
906,0.09375,0.09375,0.0078125
907,0.0703125,0.0703125,0.0
908,0.1015625,0.0859375,0.0234375
909,0.109375,0.109375,0.0078125
910,0.0703125,0.0625,0.0078125
911,0.0859375,0.0859375,0.0
912,0.1328125,0.125,0.03125
913,0.0625,0.0625,0.0
914,0.046875,0.046875,0.0
915,0.1484375,0.140625,0.0078125
916,0.09375,0.078125,0.015625
917,0.078125,0.078125,0.0
918,0.1171875,0.1171875,0.015625
919,0.09375,0.0859375,0.015625
920,0.109375,0.09375,0.015625
921,0.109375,0.109375,0.0078125
922,0.15625,0.15625,0.015625
923,0.1171875,0.109375,0.0078125
924,0.0859375,0.0859375,0.0078125
925,0.09375,0.09375,0.0
926,0.0625,0.0625,0.0
927,0.0625,0.0546875,0.0078125
928,0.09375,0.09375,0.0078125
929,0.1328125,0.125,0.0078125
930,0.0703125,0.0703125,0.0078125
931,0.1015625,0.1015625,0.0078125
932,0.1015625,0.0859375,0.015625
933,0.0546875,0.0546875,0.0
934,0.0546875,0.0546875,0.0
935,0.078125,0.078125,0.0078125
936,0.1015625,0.1015625,0.0
937,0.1171875,0.1171875,0.0078125
938,0.1015625,0.09375,0.015625
939,0.0390625,0.0390625,0.0
940,0.1015625,0.1015625,0.0078125
941,0.03125,0.0234375,0.0078125
942,0.09375,0.09375,0.0
943,0.0625,0.0546875,0.015625
944,0.1171875,0.109375,0.0078125
945,0.0625,0.0625,0.0
946,0.0625,0.0625,0.0
947,0.1484375,0.1484375,0.0
948,0.1015625,0.1015625,0.0
949,0.0859375,0.0859375,0.0
950,0.125,0.1171875,0.015625
951,0.09375,0.0859375,0.0078125
952,0.1171875,0.1171875,0.0
953,0.1328125,0.125,0.015625
954,0.1015625,0.09375,0.0078125
955,0.09375,0.09375,0.0078125
956,0.1171875,0.1171875,0.0
957,0.1015625,0.1015625,0.0078125
958,0.09375,0.09375,0.0
959,0.1015625,0.09375,0.0078125
960,0.140625,0.1328125,0.015625
961,0.09375,0.09375,0.0078125
962,0.1484375,0.1484375,0.0078125
963,0.0546875,0.0546875,0.0
964,0.109375,0.109375,0.0
965,0.09375,0.09375,0.0078125
966,0.125,0.1171875,0.0078125
967,0.15625,0.140625,0.015625
968,0.1171875,0.109375,0.0234375
969,0.140625,0.140625,0.0078125
970,0.0859375,0.078125,0.0078125
971,0.0703125,0.046875,0.0234375
972,0.109375,0.109375,0.0078125
973,0.1015625,0.078125,0.0234375
974,0.109375,0.109375,0.0
975,0.1328125,0.125,0.0078125
976,0.109375,0.109375,0.0
977,0.1015625,0.09375,0.0078125
978,0.1015625,0.1015625,0.0
979,0.171875,0.171875,0.0078125
980,0.09375,0.09375,0.015625
981,0.046875,0.046875,0.0
982,0.1015625,0.1015625,0.0
983,0.0625,0.0625,0.0
984,0.15625,0.1484375,0.0234375
